관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,시도
41465-00140,동천체육공원(60호),체육공원,,경기도 용인시 수지구 동천동 872,37.33434752,127.0962632,19512.0,,,,,,2000-05-31,,,2025-08-01,4050000,경기도 용인시,경기도
41465-00141,토월체육공원,체육공원,,경기도 용인시 수지구 풍덕천동 1239,37.32823032,127.0837278,19474.0,,,,,,2005-11-14,,,2025-08-01,4050000,경기도 용인시,경기도
41465-00152,보평 근린공원,근린공원,,경기도 용인시 처인구 고림동 1030번지,37.26477,127.2178,18774.3,,,,,,2019-06-11,,,2025-08-01,4050000,경기도 용인시,경기도
41465-00153,별울림(성복1) 근린공원,근린공원,,경기도 용인시 수지구 성복동 192-4번지 일원,37.31442,127.07218,23353.0,,,,,,2003-01-22,,,2025-08-01,4050000,경기도 용인시,경기도
41465-00154,바람숲 근린공원 1,근린공원,,경기도 용인시 처인구 모현읍 왕산리 930번지,37.33362,127.25006,18398.3,,,,,,2011-10-07,,,2025-08-01,4050000,경기도 용인시,경기도
41465-00155,숲마루 근린공원 2,근린공원,,경기도 용인시 처인구 모현읍 왕산리 982번지,37.34651,127.2614,28934.6,,,,,,2011-10-07,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00034,수지생태공원,근린공원,,경기도 용인시 수지구 신봉동 877,37.32414401,127.0858969,97839.0,,,,,,2000-05-31,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00035,도마치(신봉)공원,근린공원,,경기도 용인시 수지구 신봉동 980 일원,37.32709966,127.0623948,16909.0,,,,,,2006-07-10,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00036,제80호 근린공원(신봉 힐링 공원),근린공원,,경기도 용인시 수지구 신봉동 218-7,37.33136502,127.0677977,22982.0,,,,,,2018-11-30,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00038,신봉근린공원,근린공원,,경기도 용인시 수지구 성복동 735,37.3184368,127.081607,58620.0,,,,,,2000-05-31,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00039,소실봉근린공원,근린공원,,경기도 용인시 수지구 상현동 1198,37.30765137,127.092408,19941.5,,,,,,2009-08-17,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00040,상현근린공원,근린공원,,경기도 용인시 수지구 상현동 57-1,37.31186204,127.0871219,11591.0,,,,,,2003-01-22,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00041,만현근린공원,근린공원,,경기도 용인시 수지구 상현동 37 일원,37.31064549,127.0899222,10116.0,,,,,,2003-01-22,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00042,서봉숲속공원,근린공원,,경기도 용인시 수지구 상현동 1151,37.29803997,127.0824677,80257.7,,,,,,2007-06-28,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00043,정암수목공원,근린공원,,경기도 용인시 수지구 상현동 1139,37.29763597,127.0774432,123194.2,,,,,,2007-06-28,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00045,수진근린공원,근린공원,,경기도 용인시 수지구 동천동 927,37.33409662,127.0862523,19064.0,,,,,,2006-07-10,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00046,동천2(동막)근린공원,근린공원,,경기도 용인시 수지구 동천동 931,37.33169853,127.0912338,19660.0,,,,,,2006-07-10,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00047,제63호(매봉) 근린공원(성서63),근린공원,,경기도 용인시 수지구 성복동 481-28,37.31532965,127.0634084,11251.0,,,,,,2006-06-05,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00048,제55호 성복근린공원,근린공원,,경기도 용인시 수지구 성복동 778,37.31681598,127.0634835,10556.6,,,,,,2003-01-22,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00049,별다올 근린공원(제54호),근린공원,,경기도 용인시 수지구 성복동 192-24 일원,37.31394627,127.0749006,13533.0,,,,,,2003-01-22,,,2025-08-01,4050000,경기도 용인시,경기도
41463-00050,용인중앙공원 1차,근린공원,,경기도 용인시 처인구 김량장동 산37-16 일원,37.23170555,127.2083756,325543.0,,,,,,1968-06-25,,,2025-08-01,4050000,경기도 용인시,경기도
41290-00002,에어드리공원,근린공원,경기도 과천시 중앙로 24,경기도 과천시 갈현동 677,37.4187451,126.9897155,24080.0,체력단련장+체력단련시설+턱걸이+윗몸일으키기+팔굽혀펴기+역기들기,,주차장+음수장,도서관,조경시설+관리시설+광장+도로,1997-03-31,경기도 과천시청,02-3677-2362,2025-08-01,3970000,경기도 과천시,경기도
41290-00003,중앙공원,근린공원,경기도 과천시 도서관길 36,경기도 과천시 별양동 2,37.4323292,126.9966058,47627.0,농구장+게이트볼장+체력단련시설,어린이놀이터+정자,음수장,도서관+야외공연장,조경시설+관리리설+광장+도로,1980-07-20,경기도 과천시청,02-3677-2362,2025-08-01,3970000,경기도 과천시,경기도
41290-00013,관문체육공원,체육공원,경기도 과천시 중앙로 294,경기도 과천시 관문동 3,37.4413646,126.9963478,176471.0,다목적운동장+농구장+잔디볼링장+배구장+테니스장+게이트볼장+배드민턴장+체력단련장,어린이놀이터,주차장+음수장,,조경시설+관리리설+광장+도로,1996-11-18,경기도 과천시 시설관리공단,02-500-1410,2025-08-01,3970000,경기도 과천시,경기도
41290-00014,문원체육공원,체육공원,경기도 과천시 문원로 56,경기도 과천시 문원동 20,37.4279215,127.0036606,35676.0,다목적운동장+농구장+테니스장+게이트볼장+체력단련장+조깅코스+배드민턴장+인라인스케이트장,어린이놀이터+물놀이못+황톳길+전통정자,주차장+음수장,야외공연장,조경시설+관리리설+광장+도로,2000-06-14,경기도 과천시 시설관리공단,02-500-1410,2025-08-01,3970000,경기도 과천시,경기도
41150-00006,오목문화근린공원,근린공원,,경기도 의정부시 민락동 696-1,37.7386003,127.0944644,20063.5,허리돌리기+ 철봉+ 평행봉+ 역기올리기 등,,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-4054,2025-06-20,3820000,경기도 의정부시,경기도
41150-00009,상록근린공원,근린공원,,경기도 의정부시 금오동 476-3,37.75391277,127.0749162,11194.0,철봉+ 평행봉+ 허리돌리기+ 공중걷기 등,,화장실,,공원등+ CCTV 등,,경기도 의정부시청,031-828-4054,2025-06-20,3820000,경기도 의정부시,경기도
41150-00010,열린맘근린공원,근린공원,,경기도 의정부시 신곡2동 812,37.7351108,127.0630256,23959.9,역기올리기+ 롤링웨이스트+ 트위스터 등,,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00011,청사초롱근린공원,근린공원,,경기도 의정부시 신곡2동 797,37.7351108,127.0630256,88957.0,평행봉+ 트위스트+ 허리돌리기 등,원통굴리기,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00012,곤제근린공원,근린공원,,"경기도 의정부시 낙양동 692-1, 13",37.7467415,127.0849074,30798.1,축구장+ 철봉+ 평행봉+ 허리돌리기 등,조합놀이대,음수대+ 화장실,,공원등+ CCTV 등,,경기도 의정부시청,031-828-4054,2025-06-20,3820000,경기도 의정부시,경기도
41150-00013,다리목근린공원,근린공원,,경기도 의정부시 민락동 736-2,37.73975019,127.0892671,10000.9,평행봉+ 허리돌리기+ 팔비틀기 등,,화장실,,공원등+ CCTV 등,,경기도 의정부시청,031-828-4054,2025-06-20,3820000,경기도 의정부시,경기도
41150-00014,해오름근린공원,근린공원,,경기도 의정부시 녹양동 399,37.76244377,127.0348045,27187.5,온몸펴기+ 공중걷기+ 허리돌리기 등,그네,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00015,군마근린공원,근린공원,,경기도 의정부시 녹양동 406-3,37.76255448,127.0421271,13437.9,평행봉+ 다리흔들기+ 허리돌리기 등,조합놀이대+ 흔들놀이기구,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00016,옥수당근린공원,근린공원,,경기도 의정부시 장암동 411-38,37.688101,127.0534503,29765.0,농구장+ 헐리돌리기+ 공중걷기 등,,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00017,캠프라과디아체육공원,체육공원,,경기도 의정부시 의정부동 253-35 일원,37.742803,127.041457,12731.0,농구장+ 그라운드골프장 등,조합놀이대+스피드레이서 등,화장실+ 음수대,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41190-00135,웃고얀,근린공원,,경기도 부천시 소사구 괴안동 263,37.47591785,126.8099646,27695.3,,,,,,2005-12-30,경기도 부천시청,032-625-4843,2025-07-31,3860000,경기도 부천시,경기도
41190-00137,원미,문화공원,경기도 부천시 원미구 소사로 456,경기도 부천시 원미구 원미동 15,37.4979854,126.7990398,230485.3,배드민턴장,회전놀이기구 등 6개,화장실,,,1986-11-07,경기도 부천시청,032-625-4843,2025-07-31,3860000,경기도 부천시,경기도
41190-00140,원천,근린공원,,경기도 부천시 원미구 상동 620-3,37.48990424,126.7456056,13099.8,,,화장실,,,1998-12-17,경기도 부천시청,032-625-4843,2025-07-31,3860000,경기도 부천시,경기도
41190-00143,은데미,근린공원,,경기도 부천시 오정구 원종동 산59,37.52052725,126.8116148,129525.0,배드민턴장+게이트볼장+농구장,조합놀이대 등 4개,화장실,,,1986-11-07,경기도 부천시청,032-625-4843,2025-07-31,3860000,경기도 부천시,경기도
41150-00001,직동근린공원,근린공원,,경기도 의정부시 의정부2동 산4-5번지 일원,37.7632536,127.0888515,632143.0,농구장+ 배드민턴장+ 축구장 등,조합놀이대+ 흔들놀이기구,주차장+ 화장실+ 음수대 등,청소년수련관+ 도서관 등,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00002,추동근린공원,근린공원,,경기도 의정부시 신곡2동 산25-1번지 일원,37.7419198,127.0704451,854666.0,농구장+ 배드민턴장 등,오르는기구,주차장 등,,공원등+ CCTV 등,,경기도 의정부시청,031-828-4054,2025-06-20,3820000,경기도 의정부시,경기도
41150-00003,중랑천근린공원,근린공원,,경기도 의정부시 의정부동 14-12,37.74448638,127.0536318,14900.0,허리돌리기+ 다리흔들기+ 다리올리기+ 온몸펴기 등,조합놀이대+ 흔들놀이기구,화장실+ 음수대,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00004,백석천근린공원,근린공원,,경기도 의정부시 의정부2동 553,37.7355459,127.0412962,12248.3,철봉+ 평행봉+ 허리돌리기+ 공중걷기 등,조합놀이대+ 흔들놀이기구 등,,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41150-00005,장암발곡근린공원,근린공원,,경기도 의정부시 신곡1동 724-1,37.7276918,127.0535716,10368.2,철봉+ 평행봉 공중걷기+ 허리돌리기 등,,화장실,,공원등+ CCTV 등,,경기도 의정부시청,031-828-2414,2025-06-20,3820000,경기도 의정부시,경기도
41410-00122,체육공원1(당동2지구),체육공원,,경기도 군포시 부곡동 1226,37.33876324,126.9364804,80672.9,,,,,,2006-12-07,경기도 군포시청,031-390-0478,2025-09-12,4020000,경기도 군포시,경기도
41410-00020,한얼공원,근린공원,경기도 군포시 청백리길 18,경기도 군포시 금정동 844-1,37.36258429,126.9332329,150333.7,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00005,느티울공원,근린공원,,경기도 군포시 금정동 875-10,37.3542339,126.9281697,13263.0,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
11380-00044,신  사,근린공원,,서울특별시 은평구 신사동 산80-64일대,37.604686,126.915235,71848.1,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8004,2025-07-29,3110000,서울특별시 은평구,서울특별시
41410-00016,오금공원,근린공원,,경기도 군포시 금정동 871-6,37.35229789,126.9349648,10140.2,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00017,재궁공원,근린공원,경기도 군포시 오금로 123,경기도 군포시 금정동 850-2,37.35844953,126.9395325,10288.6,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00018,중앙공원,근린공원,경기도 군포시 광정로 96,경기도 군포시 산본동 1122,37.36158178,126.9287049,40020.7,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00019,초막골공원,근린공원,,경기도 군포시 산본동 855,37.35449855,126.9191952,561500.0,,,,,,2002-01-16,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00002,송정능말공원,근린공원,,경기도 군포시 도마교동 460-2,37.31799907,126.9222631,12737.6,,,,,,2007-06-04,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00003,궁내공원,근린공원,,경기도 군포시 산본동 1119-5,37.36512806,126.9218252,10031.2,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00004,고랑치기공원,근린공원,,경기도 군포시 부곡동 1246-1,37.32664758,126.941678,10928.6,,,,,,2013-12-27,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00006,능안공원,근린공원,경기도 군포시 고산로677번길 21,경기도 군포시 산본동 1065,37.37215635,126.932147,63271.5,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00009,한우물공원(당정2지구),근린공원,경기도 군포시 공단로140번길 27,경기도 군포시 당정동 181-44,37.35816507,126.9523333,10000.4,,,,,,2011-12-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00010,당정공원,근린공원,,경기도 군포시 당정동 761,37.34411877,126.9474786,25318.0,,,,,,2005-02-14,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00142,송정중앙공원,근린공원,,경기도 군포시 도마교동 455,37.31948821,126.9208344,47087.5,,,,,,2007-06-04,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00001,부곡공원,근린공원,,경기도 군포시 부곡동 1087,37.32508903,126.9367035,48912.0,,,,,,2003-06-20,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00011,도장공원,근린공원,,경기도 군포시 산본동 1145-7,37.35585005,126.9280617,33289.9,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
41410-00012,둔전공원,근린공원,,경기도 군포시 산본동 1151-2,37.35813658,126.9216181,37500.8,,,,,,1994-09-15,경기도 군포시청,031-390-0474,2025-09-12,4020000,경기도 군포시,경기도
11110-00019,경희궁공원,역사공원,서울특별시 종로구 새문안로 55 (신문로2가),서울특별시 종로구 신문로2가 2-1,37.57176907,126.9679849,100930.0,체력단련시설,,음수대,,,2009-05-28,서울특별시 종로구청,02-2148-2842,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00033,창덕공원,근린공원,서울특별시 종로구 율곡로 99 (와룡동),서울특별시 종로구 와룡동 2-71,37.578868,126.989712,491328.0,,,음수대,,,1962-12-20,서울특별시 종로구청+문화재청,02-2148-2842,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00007,원서공원,근린공원,서울특별시 종로구 창덕궁길 19 (원서동),서울특별시 종로구 원서동 181,37.578234,126.988566,10004.6,,,음수대,,,1985-01-18,서울특별시 종로구청,02-2148-2842,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00008,탑골공원,근린공원,서울특별시 종로구 종로 99 (종로2가),서울특별시 종로구 종로2가 38-1,37.570612,126.9880601,14808.7,,,화장실+공중전화+음수대,동상+탑기념비,,1996-12-16,서울특별시 종로구청,02-2148-2843,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00013,사직공원,근린공원,서울특별시 종로구 사직로9길 7 (사직동),서울특별시 종로구 사직동 1-28,37.57628582,126.9682319,168099.8,궁도장+배드민턴장+체력단련시설,,,,,2006-07-06,서울특별시 종로구청,02-2148-2832,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00014,월암공원,근린공원,,서울특별시 종로구 송월동 1-2,37.57077796,126.9657457,10662.0,체력단련시설,,,,,2006-08-31,서울특별시 종로구청,02-2148-2843,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00022,삼청공원,근린공원,서울특별시 종로구 북촌로 134-1 (삼청동),서울특별시 종로구 삼청동 산2-1,37.58769948,126.983451,468348.2,테니스장+농구장+배드민턴장+체력단련시설,,화장실,동상+탑기념비,숲속도서관,2020-06-29,서울특별시 종로구청,02-2148-2843,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00023,와룡공원,근린공원,서울특별시 종로구 와룡공원길 192 (명륜3가),서울특별시 종로구 명륜3가 53-52,37.591168,126.990122,204369.0,테니스장+배드민턴장+체력단련시설,,화장실+음수대,,,2010-01-21,서울특별시 종로구청,02-2148-2843,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00024,숭인공원,근린공원,서울특별시 종로구 동망산길 150 (숭인동),서울특별시 종로구 숭인동 58,37.57756126,127.0181626,45615.0,농구장+배드민턴장+체력단련시설,,화장실+음수대,,,2010-04-22,서울특별시 종로구청,02-2148-2843,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00026,흥인지문공원,근린공원,,서울특별시 종로구 종로6가 70,37.57253066,127.0085453,11519.7,,,,,,2010-09-09,서울특별시 종로구청,02-2148-2842,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00031,인왕산공원,근린공원,,서울특별시 종로구 옥인동 179-1,37.58302366,126.9634885,201704.0,배드민턴장+체력단련시설,미끄럼틀+조합놀이대,화장실+음수대,,,2020-06-29,서울특별시 종로구청,02-2148-2835,2025-11-28,3000000,서울특별시 종로구,서울특별시
11110-00035,북한산공원,근린공원,서울특별시 종로구 북악산로 267,서울특별시 종로구 평창동 산6-17,37.601976,126.980549,19902.4,,,화장실+편의점,,북악팔각정,2020-06-29,서울특별시 종로구청,02-2148-2832,2025-11-28,3000000,서울특별시 종로구,서울특별시
11620-00058,남강,어린이공원,,서울특별시 관악구 신림동 1678-12,37.47350474,126.924653,10350.0,,그네+미끄럼틀+흔들말+조합놀이대,,,,1978-06-17,서울특별시 관악구청,02-879-6508,2025-11-17,3200000,서울특별시 관악구,서울특별시
11620-00025,장군봉근린공원,근린공원,,서울특별시 관악구 신림동 산1-1,37.478631,126.939049,128100.0,배드민턴장+운동장,,화장실,,,1971-08-06,서울특별시 관악구청,02-879-6504,2025-11-17,3200000,서울특별시 관악구,서울특별시
11620-00047,까치산근린공원,근린공원,,서울특별시 관악구 봉천동 산66-1,37.47774405,126.9672315,64534.0,게이트볼장,조합놀이대,,,,1977-07-09,서울특별시 관악구청,02-879-6503,2025-11-17,3200000,서울특별시 관악구,서울특별시
11440-00089,외국인묘지공원,묘지공원,,서울특별시 마포구 합정동145-3 등 10필지,37.546524,126.911775,13224.0,,,,,,1965-05-06,서울특별시 마포구청,02-3153-9555,2025-12-03,3130000,서울특별시 마포구,서울특별시
11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,서울특별시 관악구 봉천동 산 103-52,37.491879,126.9414281,87458.0,배드민턴장,조합놀이대,화장실,,,1940-03-12,서울특별시 관악구청,02-879-6503,2025-11-17,3200000,서울특별시 관악구,서울특별시
11440-00001,상암공원,근린공원,,서울특별시 마포구 상암동 산26-39,37.578696,126.883265,161153.0,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00002,매봉산공원,근린공원,,서울특별시 마포구 상암동 1631,37.573807,126.8955799,13137.0,,,,,,2006-11-16,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00003,구룡공원,근린공원,,서울특별시 마포구 상암동 1583,37.582791,126.883713,14287.0,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00004,와우공원,근린공원,,서울특별시 마포구 창전동 3-231 등 59필지,37.552344,126.928984,73590.0,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00005,부엉이공원,근린공원,,서울특별시 마포구 상암동 1735,37.58464695,126.8832829,17640.0,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00006,성산공원,근린공원,,서울특별시 마포구 성산동 산11-1 등 38필지,37.562212,126.909895,103962.0,,,,,,1966-02-05,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00008,샛터공원,근린공원,,서울특별시 마포구 성산동 200-326 등 19필지,37.566196,126.906188,31100.0,,,,,,1977-07-09,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11440-00009,노고산공원,근린공원,,서울특별시 마포구 대흥동 산1-30등17필지,37.551503,126.943063,528936.0,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2025-12-03,3130000,서울특별시 마포구,서울특별시
11710-00025,송파나루,근린공원,"서울특별시 송파구 잠실로 180, 삼학사로 136","서울특별시 송파구 신천동 32, 잠실동 47",37.51210416,127.1077049,285757.6,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00026,숯내,근린공원,서울특별시 송파구 중대로4길 4,서울특별시 송파구 문정동 150-8,37.48970385,127.111231,10206.5,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00027,아시아,근린공원,서울특별시 송파구 올림픽로 44,서울특별시 송파구 잠실동 84,37.51068203,127.0759347,66027.8,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00028,연화,근린공원,서울특별시 송파구 새말로15길 175,서울특별시 송파구 문정동 92,37.485159989,127.1297173897,14318.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00029,오금,근린공원,서울특별시 송파구 동남로 263,서울특별시 송파구 오금동 51,37.499994,127.134853,219167.4,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00031,웃말,근린공원,서울특별시 송파구 송이로15길 41,서울특별시 송파구 가락동 21,37.50167671,127.123153,11098.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00034,장지,근린공원,,서울특별시 송파구 장지동 산 11 외,37.484721,127.134551,133122.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00035,천마,근린공원,서울특별시 송파구 성내천로35길 53,서울특별시 송파구 마천동 산 2 외,37.500386,127.158815,182420.0,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00037,풍납,근린공원,,서울특별시 송파구 풍납동 74,37.53809304,127.1217719,23746.0,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00040,한우물,근린공원,,"서울특별시 송파구 문정동 626,633",37.479138,127.1244919,11385.8,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00041,훼밀리,근린공원,,서울특별시 송파구 문정동 150-5,37.49075881,127.1140908,10528.6,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
11710-00042,오금지구 근린공원,근린공원,,서울특별시 송파구 오금동 106-1 일원,37.505504,127.140584,11488.0,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구,서울특별시
41173-00077,평촌스마트스퀘어 체육공원(7호),체육공원,,경기도 안양시 동안구 관양동 1741번지,37.398717,126.964391,10052.0,,,,,,2012-09-04,경기도 안양시 공원관리과,031-8045-5288,2025-11-26,3830000,경기도 안양시,경기도
41173-00079,간촌공원(32호),근린공원,,경기도 안양시 동안구 관양동 1675,37.410985,126.968101,13874.0,,,,,,2013-01-03,경기도 안양시 공원관리과,031-8045-5015,2025-11-26,3830000,경기도 안양시,경기도
41173-00085,비봉산힐링공원(35호),근린공원,,경기도 안양시 동안구 비산동 산186-10번지,37.408538,126.930141,20527.3,,,,,,2018-02-13,경기도 안양시 공원관리과,031-8045-5015,2025-11-26,3830000,경기도 안양시,경기도
41173-00086,덕현공원(34호),근린공원,,경기도 안양시 동안구 호계동 1330,37.372175,126.962246,11148.5,,,,,,2018-03-16,경기도 안양시 공원관리과,031-8045-5015,2025-11-26,3830000,경기도 안양시,경기도
41171-00051,수리산 성지공원(2호),역사공원,,경기도 안양시 만안구 안양동 1151-6번지,37.371414,126.904694,16656.0,,,,,,2019-01-09,경기도 안양시 공원관리과,031-8045-5017,2025-11-26,3830000,경기도 안양시,경기도
41171-00052,안양천 생태힐링공원(27호),문화공원,,경기도 안양시 만안구 석수동 583,37.416868,126.896803598,72839.0,,,,,,2022-01-25,경기도 안양시 공원관리과,031-8045-5517,2025-11-26,3830000,경기도 안양시,경기도
41171-00049,창박골체육공원(6호),체육공원,,경기도 안양시 만안구 안양동 1090-2,37.382725,126.902587,13891.0,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5017,2025-11-26,3830000,경기도 안양시,경기도
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66,37.52152002,127.0522736,59347.0,"농구장, 배드민턴장, 골프연습장, 운동기구 등",,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1,37.49524119,127.0622107,19200.0,운동기구 등,,"음수대, 장의자 등",,,,,02-3423-6244,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9,운동기구 등,모래밭,"파고라, 정자, 장의자 등",개포도서관,,,,02-3423-6248,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00018,달터근린공원,근린공원,,서울특별시 강남구 개포동 156,37.485434,127.0596369,232078.2,운동기구 등,모래밭,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00019,대진근린공원,근린공원,,서울특별시 강남구 개포동 13-1,37.496049,127.0788531,13568.4,"배드민턴장, 운동기구 등","그네, 시소, 조합놀이대 등","음수대, 파고라, 정자, 장의자 등",,,,,02-3423-6248,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00020,탄천근린공원,근린공원,,서울특별시 강남구 수서동 722,37.487436,127.1064899,10011.0,운동기구 등,조합놀이대 등,"파고라, 정자, 장의자 등",,,,,02-3423-6248,2025-01-19,3220000,서울특별시 강남구,서울특별시
11680-00021,한솔근린공원,근린공원,,서울특별시 강남구 일원동 732,37.481203,127.0787962,12878.4,"농구장, 운동기구 등","그네, 미끄럼틀, 조합놀이대 등","음수대, 파고라, 정자, 장의자 등",,,,,02-3423-6248,2025-01-19,3220000,서울특별시 강남구,서울특별시
