시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당자전화번호,비고
남양주시,예정구역,재개발,진접7,경기도 남양주시 진접읍 내각리 산31-7일원,10812,1986,7,228,,196,32,,,,,,,,,,,,,,,,,122.00%,250%,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,,031-590-8753,
동두천시,준공,재건축,생연동 주공생연아파트,경기도 동두천시 생연동 284번지 일원,19969,1985,9,300,,300,,,,576,256,320,,576,,115,461,,,,,,,87%,280%,301,232,조합,2014,,,,2011-12-05,2013-05-02,2016-02-05,2009-08-17,2010-11-02,2011-03-28,2013-09-30,2020-03-11,2020-10-29,2022-04-04,2022-04-06,2024-12-17,,,031-860-2402,
동두천시,정비구역,주거환경개선,중앙,경기도 동두천시 생연동 483번지 일원,45139,1961,265,295,295,,,,,,,,,,,,,,,,,,,500%,,179,,市,2007,,,,2007-08-29,2008-02-04,,,,,,,,,,,,,031-860-2356,
동두천시,사업시행,재건축,생연동 국민주택,경기도 동두천시 동두천시 생연동 704번지 일원,13039,1982,7,120,6,114,,,,258,120,138,,258,,80,178,,,,,,,52%,250%,117,115,조합,2014,,,,2005-09-05,2007-04-09,2021-08-26,2021-08-26,2003-06-10,2003-07-26,2019-07-12,2022-11-15,,,,,,,031-860-2402,
동두천시,준공,주거환경개선,생연1-1,경기도 동두천시 생연동 515-5번지 일원,46425,1960,194,408,408,,,,,,,,,,,,,,,,,,,250%,,296,,市,2007,2016,,,,2012-03-16,,,,,,2013-03-15,,2015-04-20,,2016-10-21,,,031-860-2356,
동두천시,준공,주거환경개선,안흥,경기도 동두천시 안흥동 38번지 일원,75352,1955,154,225,225,,,,,,,,,,,,,,,,,,,250%,,218,,市,2007,2015,,,,2008-01-14,2013-04-18,,,,,2013-05-31,,2014-07-21,,2015-11-02,,,031-860-2356,
동두천시,준공,주거환경개선,싸리말,경기도 동두천시 보산동 314번지 일원,49551,1958~,165,185,185,,,,,,,,,,,,,,,,,,,200%,,106,,市,2007,2012,,,,2008-01-14,,,,,,2010-02-18,,2011-05-18,,2012-10-16,,,031-860-2356,
부천시,준공,재개발,약대1,경기도 부천시 약대동 216,42275,1950,77,195,195,,,,,620,110,404,106,514,,80,312,122,,106,54,52,,24%,250%,110,110,조합,2005,2012,2003-03-28,,,2010-05-31,,2007-04-02,,,,,2007-12-31,2008-10-31,2008-11-03,2011-10-26,2012-07-09,,032-625-3753,
부천시,준공,재건축,괴안1-6,경기도 부천시 괴안동 203-2,42952,1984,17,770,,326,384,60,,921,694,227,,921,,557,364,,,,,,,124%,250%,761,694,조합,2006,2020,2006-09-18,,,2016-06-20,,2014-09-22,,2003-08-09,,,2016-12-09,2017-08-03,2018-01-24,2020-04-22,2020-07-27,,032-625-3761,
부천시,준공,재건축,약대주공,경기도 부천시 약대동 181,101986,1985,40,1040,,1040,,,,1613,1040,423,150,1463,,207,713,250,293,150,,150,,85%,250%,1040,1031,조합,2003,2015,,,,,,2007-09-10,2003-09-25,2004-02-16,,,2008-01-25,2010-03-18,2011-10-07,2017-07-31,2017-11-27,,032-625-3761,
부천시,준공,재건축,삼경아파트,경기도 부천시 원종동 144,20108,1984,9,363,,363,,,,403,341,54,8,395,,84,187,124,,8,,3,5,154%,215%,363,363,조합,2003,2010,,,,,,2007-10-23,2003-06-04,2003-09-22,,,2008-07-16,2008-11-25,2010-11-21,2010-11-30,2011-02-01,,032-625-3761,
부천시,준공,재건축,동원아파트,경기도 부천시 송내동 463-3,20736,1985,7,323,,323,,,,371,351,,20,351,,,351,,,20,20,,,103%,202%,323,323,조합,2006,2008,,,,,,2005-05-17,2002-06-19,2002-11-19,,,2005-12-26,2006-04-27,2008-03-27,2008-07-17,2008-10-10,,032-625-3761,
부천시,준공,재건축,중동주공,"경기도 부천시 중동 884외3 (현, 1288,1289)",159919,1982,60,2560,,2560,,,,3090,2817,,273,2817,,,2817,,,273,273,,,71%,244%,2560,2183,조합,2004,2008,,,,,,2004-07-15,,1999-05-01,,,2005-05-12,2005-11-25,2008-04-18,2008-12-12,2009-07-27,,032-625-3761,
부천시,준공,재건축,백동단지,경기도 부천시 소사본동 157-1 외 99,13517,1983,2,99,,99,,,,226,196,,30,196,,,196,,,30,30,,,73%,200%,99,76,조합,2006,2009,,,,,,2006-06-09,2004-02-26,2004-06-14,,,2006-09-22,2008-02-01,2010-04-08,2012-05-29,2012-10-08,,032-625-3761,
부천시,청산,재개발,약대2,경기도 부천시 약대동 204,71669,1935,167,520,520,,,,,1373,208,955,210,1163,,,156,768,239,210,,126,84,95%,250%,208,208,조합,2005,2012,2003-03-28,,,,,2007-04-02,,,,,2007-12-31,2008-10-31,2008-11-03,2011-10-26,2012-04-16,,032-625-3753,
부천시,청산,재개발,중동1-1,경기도 부천시 중동 780,16143,1990,85,114,,,114,,,339,71,240,28,311,,103,208,,,28,11,17,,100~200%,280%,113,71,조합,2006,2020,2006-09-18,,,2016-05-23,,2010-11-01,,,,,2015-12-30,2017-03-30,2017-04-05,2019-11-27,2020-02-24,,032-625-3753,
부천시,예정구역,재건축,심곡본 3-2(부천극동아파트),경기도 부천시 심곡본동 566-1,29174,1988,6,495,,,495,,,,,,,,,,,,,,,,,,219%,,,,2018,2030,2017-12-11,2018-12-31,,,,,2021-05-20,,,,,,,,,,032-625-3763,
부천시,예정구역,재건축,송내 3-1(송내동신아파트),경기도 부천시 송내동 441-8,17767,1985,5,380,,,380,,,,,,,,,,,,,,,,,,224%,,,,2019,2030,2017-12-11,2019-12-31,,,,,2023-03-21,,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,소사본 3-1(성지아파트),경기도 부천시 소사본동 91-68,9435,1988,3,264,,,264,,,,,,,,,,,,,,,,,,280%,,,,2020,2030,2017-12-11,2020-12-31,,,,,,,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,원종 3-1(원종주공아파트),경기도 부천시 원종동 129-19,25419,1988,13,490,,,490,,,,,,,,,,,,,,,,,,230%,,,,2020,2030,2017-12-11,2020-12-31,,,,,2023-03-16,2024-12-17,,,,,,,,,032-625-3763,
부천시,예정구역,재건축,괴안 3-5(삼익세라믹아파트),경기도 부천시 괴안동 204-16,35064,1989,10,781,,,781,,,,,,,,,,,,,,,,,,230%,,,,2021,2030,2017-12-11,2021-12-31,,,,,2024-10-18,,,,,,,,,,032-625-3762,
부천시,정비구역,재건축,괴안 3-7(거산아파트),경기도 부천시 괴안동 171-8,13418,1992,7,260,,,260,,,,,,,,,,,,,,,,,,230%,,,,2023,2030,2017-12-11,2023-12-31,,,,,2023-03-02,2024-07-15,,,,,,,,,032-625-3761,
부천시,관리처분,재개발,소사본1-1,경기도 부천시 소사본동 88-39,45408,평균 1983,285,603,,603,,,,1728,498,1086,144,1584,,,1584,,,144,144,,,100~200%,762%,498,406,조합,2011,2030,2006-09-18,2006-12-31,,2024-09-02,,2022-04-27,,,,,2024-02-05,,,,,,032-625-3751,
부천시,준공,재건축,심곡본1-1,경기도 부천시 심곡본동 801,15356,1985,6,220,,118,102,,,354,212,142,,354,,171,183,,,,,,,91%,248%,221,212,조합,2006,2020,2006-09-18,,,,,2015-03-20,,2010-04-12,,,2015-10-22,2016-06-22,2016-06-24,2018-09-20,2018-12-24,,032-625-3761,
부천시,준공,재개발,계수.범박,경기도 부천시 계수동 1-6,296082,1990,743,1077,58,750,269,,,3724,968,2567,189,3535,51,1719,1765,,,189,189,,,100~200%,239%,1167,921,조합,2006,2023,2006-09-18,2006-12-31,,2023-04-28,,2017-01-31,,,,,2018-05-02,2018-08-27,2018-08-28,2024-01-15,2024-03-04,,032-625-3751,
부천시,착공,재건축,송내1-1,경기도 부천시 송내동 338,42612,1984,36,885,66,349,469,1,,1045,812,233,,1045,,828,210,7,,225,,,,135%,268%,822,807,조합,2006,,2006-09-18,2008-12-31,,2018-09-03,,2020-07-06,,2011-12-19,,,2021-11-10,2024-01-19,,,,,032-625-3763,
부천시,착공,재개발,괴안3D,경기도 부천시 괴안동 201,38324,평균 1982,227,590,,590,,,,759,477,197,85,674,,538,136,,,85,46,39,,100~200%,274%,431,431,조합,2009,2028,2009-05-01,,,2018-10-29,,2018-11-07,,,,,2019-11-11,2024-12-18,,,,,032-625-3753,
부천시,관리처분,재개발,소사3,경기도 부천시 소사동 48-21,76072,평균 1982,547,1555,,1555,,,,1649,532,985,132,1517,,595,922,,,132,132,,,100~200%,288%,529,529,조합,2011,2026,2003-03-28,2006-12-31,,2024-05-20,,2020-08-06,,,,,2022-06-15,,,,,,032-625-3752,
부천시,사업시행,재개발,소사1-1,경기도 부천시 소사동 8-5,25881,평균1983,122,551,,241,247,63,,748,298,390,60,688,58,439,191,,,60,60,,,100~200%,317%,306,287,조합,2006,,2006-09-18,,,2018-02-19,,2014-06-30,,,,,,,,,,,032-625-3753,
부천시,사업시행,재개발,도당1-1,경기도 부천시 도당동 266-4,137023,평균1983,559,2567,,1367,700,500,,2394,2202,,192,2202,,707,1257,233,5,192,66,126,,109%,270%,1121,885,조합,2006,,2006-09-18,2006-12-31,,2025-02-24,,2010-07-19,,,,,,,,,,,032-625-3752,
부천시,사업시행,재건축,성곡2-1,경기도 부천시 원종동 352,17396,1983,8,296,6,290,,,,413,413,,,413,,,,,,,,,,200%,230%,296,296,조합,,,2014-02-25,2015-01-01,,,,2023-08-24,2003-04-03,2015-12-13,,,,,,,,,032-625-3761,
부천시,추진위원회,재건축,역곡1-2,경기도 부천시 역곡동 75-3,16940,1983,17,315,,275,40,,,441,441,,,441,,,,,,,,,,129%,250%,399,,추진위,2006,,2006-09-18,2006-12-31,,,,,,2011-05-12,,,,,,,,,032-625-3761,
부천시,청산,재개발,송내1-2,경기도 부천시 송내동 427-32,40431,1990,165,671,,,297,361,13,831,268,496,67,764,,407,354,3,,67,67,,,100~200%,263%,310,268,조합,2006,2021,2006-09-18,,,2018-07-16,,2010-03-08,,,,,2016-05-09,2018-11-27,2018-11-28,2021-08-27,2021-10-17,,032-625-3753,
부천시,정비구역,재개발,심곡3-1,경기도 부천시 심곡동 194,4413,1967,1,99,,,99,,,334,334,,,334,,,,,,,,,,103%,993%,80,,,2020,2030,2017-12-11,2019-11-25,,,,,,,,,,,,,,,032-625-3751,
부천시,정비구역,재건축,괴안 3-6(괴안대진아파트),경기도 부천시 괴안동 171-6,14203,1987,6,290,,,290,,,,,,,,,,,,,,,,,,230%,,,,2018,2030,2017-12-11,2018-12-31,,,,,2021-02-26,2022-03-15,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,괴안 3-3(삼익3차 아파트),경기도 부천시 괴안동 204-1,35434,1992,11,682,,,682,,,,,,,,,,,,,,,,,,230%,,,,2023,2030,2017-12-11,2023-12-31,,,,,2023-06-01,2024-07-15,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,원종 3-2(동문1차아파트),경기도 부천시 원종동 70-1,17591,1990,6,280,,,280,,,,,,,,,,,,,,,,,,230%,,,,2022,2030,2017-12-11,2022-12-31,,,,,2022-04-27,2024-03-20,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,고강 3-2(미도아파트),경기도 부천시 고강동 327-7,14690,1989,6,340,,,340,,,,,,,,,,,,,,,,,,230%,,,,2021,2030,2017-12-11,2021-12-31,,,,,,,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,괴안3-4(염광아파트),경기도 부천시 괴안동 164-6,16698,1989,3,382,,,382,,,,,,,,,,,,,,,,,,230%,,,,2021,2030,2017-12-11,2021-12-31,,,,,2024-02-07,2024-02-28,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,송내 3-2(현대아파트),경기도 부천시 송내동 450-1,22373,1988,6,717,,,717,,,,,,,,,,,,,,,,,,230%,,,,2020,2030,2017-12-11,2020-12-31,,,,,2023-04-17,,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,약대 3-1(약대현대아파트),경기도 부천시 약대동 169-6,15363,1988,7,290,,,290,,,,,,,,,,,,,,,,,,230%,,,,2020,2030,2017-12-11,2020-12-31,,,,,2024-11-25,,,,,,,,,,032-625-3763,
부천시,예정구역,재건축,원종 3-3(동진아파트),경기도 부천시 원종동 180-3,12177,1987,3,250,,,250,,,,,,,,,,,,,,,,,,230%,,,,2020,2030,2017-12-11,2020-12-31,,,,,2023-06-05,,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,"고강 3-1(고강1,2차 아파트)",경기도 부천시 고강동 246-5,19064,"1984, 1986",9,338,,,338,,,,,,,,,,,,,,,,,,230%,,,,2019,2030,2017-12-11,2019-12-31,,,,,,,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,괴안 3-2(역곡조공2차아파트),경기도 부천시 괴안동 33,27634,1985,16,320,,,320,,,,,,,,,,,,,,,,,,219%,,,,2019,2030,2017-12-11,2019-12-31,,,,,2023-03-17,2024-03-20,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,소사본 3-2(부천한신아파트),경기도 부천시 소사본동 277-12,40377,1984,9,916,,,916,,,,,,,,,,,,,,,,,,230%,,,,2018,2030,2017-12-11,2018-12-31,,,,,2023-03-16,2024-03-19,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,심곡본 3-1(부천롯데아파트),경기도 부천시 심곡본동 615-1,22225,1984,5,463,,,463,,,,,,,,,,,,,,,,,,228%,,,,2018,2030,2017-12-11,2018-12-31,,,,,2024-06-04,,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,괴안 3-1(역곡조공1차아파트),경기도 부천시 괴안동 36,14774,1984,5,224,,,224,,,,,,,,,,,,,,,,,,230%,,,,2018,2030,2017-12-11,2018-12-31,,,,,2018-03-06,2024-02-28,,,,,,,,,032-625-3761,
부천시,추진위원회,재개발,심곡본동 제1,경기도 부천시 심곡본동 804,19658,평균 1989,81,155,21,50,11,3,70,412,155,224,33,379,15,123,241,,,33,33,,,113%,253%,152,,미정,,,,2024-12-02,,,,,,,,,,,,,,,032-625-3753,
성남시,착공,재개발,도환중1,경기도 성남시 중원구 중앙동 912,67234,1985,624,1345,848,316,121,36,24,1972,653,1319,,1972,,1176,144,652,0,,,,,300%,400%,671,591,조합,2006,2023,2006-11-30,2008-12-31,2009-07-29,2010-08-31,2018-09-10,2011-01-12,,,2019-03-25,,2021-02-04,2024-01-15,2024-09-13,,,,031-729-4432,
성남시,준공,재개발,중1,경기도 성남시 중원구 중앙동 2979,108062,1965,1131,3715,2304,854,372,111,74,2411,984,1015,412,1999,,976,1023,,,412,140,272,,150%,260%,998,,LH,2008,2023,2006-11-30,,,2008-11-26,2022-09-05,,,,2009-12-04,,2016-11-07,2019-08-22,2019-05-21,2022-09-20,2023-05-22,,031-729-4433,
성남시,준공,재개발,금광1,경기도 성남시 중원구 금광동 34,233192,1970,1950,7499,4649,1725,750,225,150,5320,2073,2339,908,4412,,2409,2003,,,908,311,597,,150%,264%,2015,,LH,2008,2023,2006-11-30,,,2008-11-26,2022-10-11,,,,2009-12-04,,2016-11-07,2019-06-10,2019-05-21,2023-06-30,2023-10-30,,031-729-4433,
성남시,준공,재건축,금광3,경기도 성남시 중원구 금광동 2600,21709,1985,95,638,,,638,,,711,438,273,,711,104,561,46,,,,,,,150%,265%,454,438,조합,2013,2021,2012-01-30,2011-12-31,2013-09-27,2013-09-27,2015-08-03,2013-12-19,,,2016-06-08,,2016-12-29,2018-08-07,2018-08-15,2021-02-17,2021-05-24,,031-729-4163,
성남시,준공,재건축,신흥(신흥주공+통보8차),경기도 성남시 수정구 신흥동 6951,181292,1986,27,2406,,,1008,1398,,4089,2384,1705,,4089,,564,3425,100,,,,,,134%,249%,2353,2353,조합,2011,2020,2012-01-30,,2011-12-30,2011-12-30,2011-12-30,2012-04-09,,2003-06-27,2015-07-24,,2016-08-16,2017-08-18,2017-08-24,2020-07-30,2020-11-30,,031-729-4443,
성남시,준공,주거환경개선,태평2,경기도 성남시 수정구 남문로 69번길 11,46786,1980~2000,421,1219,,,1219,,,,,,,,,,,,,,,,,210%,,479,,市,2014,2021,2017-03-29,2017-03-27,2017-03-27,2017-03-27,2021-12-20,,,,2020-02-17,,,2020-03-23,,2021-12-27,,,031-729-4902,
성남시,준공,주거환경개선,태평4,경기도 성남시 수정구 남문로 135번길 11,48852,1980~2000,499,499,,,499,,,,,,,,,,,,,,,,,210%,,523,,市,2014,2021,2017-03-29,2017-03-29,2017-03-29,2017-03-29,2021-11-22,,,,2020-02-17,,,2020-03-27,,2021-11-29,,,031-729-4902,
성남시,준공,주거환경개선,수진2,경기도 성남시 수정구 수정로88번길 18,35214,1980~2000,330,905,,,905,,,,,,,,,,,,,,,,,210%,,330,,市,2015,2021,2017-03-27,2017-03-27,2017-03-27,2017-03-27,2021-11-22,,,,2019-12-30,,,2019-12-20,,2021-11-29,,,031-729-4902,
성남시,준공,재개발,중3,경기도 성남시 중원구 중동 1500,40239,1970,282,898,556,207,90,27,18,672,323,222,127,545,,187,288,70,,127,62,65,,150%,239%,330,,LH,2003,2023,2006-11-30,,,2006-01-06,2011-07-04,,,,2007-03-13,,2008-02-29,2009-08-08,2011-10-28,2013-12-31,2016-05-02,,031-729-4433,
성남시,준공,재건축,건우아파트,경기도 성남시 수정구 태평동 7346,17915,1987,7,470,,320,150,,,503,307,196,,503,,,420,83,,,,,,156%,249%,305,305,조합,2010,2018,2006-11-30,2010-12-31,2009-08-01,2010-04-28,2013-04-22,2012-04-19,,2002-12-30,2012-05-17,,2015-09-03,2016-05-11,2016-06-03,2018-10-12,2019-01-28,,031-729-4442,
성남시,준공,재건축,삼창아파트,경기도 성남시 중원구 중앙동 3748-1,41139,1985,3,544,,,544,,,751,441,310,,751,,,751,,,,,,,114%,244%,547,443,조합,2007,2012,,,,2006-01-16,2010-10-22,,,,2007-08-07,,2008-03-31,2009-08-20,,2012-12-14,2014-07-07,,031-729-4163,
성남시,준공,주거환경개선,은행2지구,경기도 성남시 은행2동 1342,183209,1980~2000,1082,7669,,,7669,,,,,,,,,,,,,,,,,350~400%,210%,2973,,市+LH,2006,2015,2006-11-30,,,2007-10-29,2015-11-30,,,,2009-06-15,,,2012-07-19,,2015-11-30,,,031-729-4902,
성남시,준공,주거환경개선,단대동,경기도 성남시 산성대로 383번길 14(단대동 177),49265,1990,120,746,746,,,,,,,,,,,,,,,,,,,210%,,513,,市,2015,2018,2015-06-22,,2015-06-22,2015-06-22,,,,,2017-01-23,,,2016-12-27,,2018-12-24,,,031-729-4902,
성남시,예정구역,재건축,한신아파트,경기도 성남시 수정구 신흥동 2463-1,22374,1990,5,585,585,,,,,,,,,,,,,,,,,,,,250%,585,,,,,2019-05-27,2020-12-31,,,,,2023-10-20,,,,,,,,,,031-729-4443,
성남시,예정구역,재건축,청구아파트,경기도 성남시 수정구 신흥동 2464-1,17942,1994,3,493,493,,,,,,,,,,,,,,,,,,,,250%,493,,,,,2019-05-27,2028-12-31,,,,,,,,,,,,,,,031-729-4442,
성남시,예정구역,재건축,미도아파트,경기도 성남시 수정구 단대동 182,10913,1982,3,280,280,,,,,,,,,,,,,,,,,,,203%,250%,286,,,,,2006-11-30,2020-12-31,,,,,2023-10-27,2024-09-02,,,,,,,,,031-729-4442,
성남시,정비구역,재개발,태평3,경기도 성남시 수정구 태평동 4580,124989,1980~2000,1241,3646,3646,,,,,2778,2310,,468,2310,,,,,,468,,,,100~200%,265%,1340,,LH,2023,2032,2019-05-27,2022-12-31,2023-02-20,2023-02-20,,,,,,,,,,,,,031-729-4422,
성남시,사업시행,재개발,수진1,경기도 성남시 수정구 수진동 963,261831,1980~2000,2377,6544,6544,,,,,4844,3962,,882,3962,444,965,2045,508,,882,539,343,,100~200%,265%,2647,,LH,2020,2030,2019-05-27,2020-12-31,2020-12-31,2020-12-31,2023-12-26,,,,,2024-12-27,,,,,,,031-729-4422,
성남시,관리처분,재개발,상대원2,경기도 성남시 중원구 상대원동 3910,242045,1986,2092,6075,3768,1397,606,182,122,5090,2388,2082,620,4470,371,2051,1624,424,,620,410,210,,100~200%,265%,2319,2270,조합,2014,2028,2006-11-30,2011-12-31,2013-11-04,2014-02-24,2019-08-05,2014-06-13,,,2020-01-13,,2021-12-31,,,,,,031-729-4433,
성남시,준공,재개발,신흥2,경기도 성남시 수정구 신흥동 1132,210291,1971,1772,6488,4022,1492,649,195,130,4774,2225,1737,812,3962,,1944,2018,,,812,452,360,,150%,263%,2022,,LH,2008,2023,2006-11-30,,,2008-11-26,2019-09-02,,,,2009-12-04,,2017-06-26,2020-05-08,2020-08-11,2024-10-30,,,031-729-4424,
성남시,준공,재개발,단대,경기도 성남시 수정구 단대동 108-6,75063,1985,516,1897,1176,436,190,57,38,1228,1015,,213,1015,,297,479,239,,213,127,86,,140%,225%,680,,LH,2002,2023,2006-11-30,,,2005-11-07,2011-07-04,,,,2007-09-21,,2008-06-09,2009-07-28,2011-11-18,2013-11-29,2016-05-02,,031-729-4424,
성남시,준공,주거환경개선,산성2지구,경기도 성남시 산성동 513,29560,1970~2000,221,712,,,712,,,,,,,,,,,,,,,,,290%,210%,238,,市,2004,2008,,,,2003-06-30,2006-06-28,,,,2004-06-29,,,2004-06-01,,2008-04-21,,,031-729-4902,
성남시,청산,재건축,삼남아파트,경기도 성남시 중원구 중앙동 578,20124,1985,7,235,,,235,,,356,181,175,,356,,,356,,,,,,,112%,233%,234,182,조합,2007,2012,,,,2006-01-16,2010-01-22,,,,2007-06-25,,2008-02-29,2009-03-13,,2012-09-27,2012-08-13,,031-729-4163,
성남시,예정구역,재건축,선경논골아파트,경기도 성남시 수정구 단대동 6,8533,1991,3,426,426,,,,,,,,,,,,,,,,,,,,250%,426,,,,,2019-05-27,2022-12-31,,,,,,,,,,,,,,,031-729-4443,
성남시,예정구역,재건축,삼익금광아파트,경기도 성남시 중원구 금광동 3950,12251,1991,4,498,498,,,,,,,,,,,,,,,,,,,,250%,498,,,,,2019-05-27,2022-12-31,,,,,2022-06-30,,,,,,,,,,031-729-4162,
성남시,예정구역,재건축,삼익상대원아파트,경기도 성남시 중원구 상대원동 152-3,6067,1991,2,264,264,,,,,,,,,,,,,,,,,,,,250%,264,,,,,2019-05-27,2022-12-31,,,,,2024-09-19,2025-04-04,,,,,,,,,031-729-4163,
성남시,예정구역,재건축,성남동현대아파트,경기도 성남시 중원구 성남동 3120,9741,1992,2,375,375,,,,,,,,,,,,,,,,,,,,250%,375,,,,,2019-05-27,2024-12-31,,,,,2023-09-22,2024-09-02,,,,,,,,,031-729-4442,
성남시,예정구역,재건축,두산아파트,경기도 성남시 수정구 신흥동 2024,21590,1993,6,570,570,,,,,,,,,,,,,,,,,,,,250%,570,,,,,2019-05-27,2026-12-31,,,,,,,,,,,,,,,031-729-4443,
성남시,예정구역,재건축,시영(황송마을)아파트,경기도 성남시 중원구 금광동 2450-1,34220,1993,11,990,990,,,,,,,,,,,,,,,,,,,,250%,990,,,,,2019-05-27,2026-12-31,,,,,2025-02-18,,,,,,,,,,031-729-4162,
성남시,예정구역,재건축,일성아파트,경기도 성남시 중원구 상대원동 178-6,8024,1993,1,270,270,,,,,,,,,,,,,,,,,,,,250%,270,,,,,2019-05-27,2026-12-31,,,,,,,,,,,,,,,031-729-4162,
성남시,예정구역,재건축,선경상대원2차아파트,경기도 성남시 중원구 상대원동 279-1,83823,1994,19,2510,2510,,,,,,,,,,,,,,,,,,,,250%,2510,,,,,2019-05-27,2028-12-31,,,,,,,,,,,,,,,031-729-4162,
성남시,예정구역,재건축,은행동현대아파트,경기도 성남시 중원구 은행동 1932-6,59829,1995,14,1258,,,,,,,,,,,,,,,,,,,,,250%,1258,,,,,2024-08-19,,,,,,2024-11-27,,,,,,,,,,031-729-4162,
성남시,정비구역,재개발,상대원3,경기도 성남시 중원구 상대원동 2780,427629,1980~2000,2573,10486,10486,,,,,8792,7267,,1525,7267,,,,,,1525,,,,100~200%,250%,4750,,,2024,2034,2019-05-27,2022-12-31,2024-12-27,2024-12-27,,,,,,,,,,,,,031-729-4432,
성남시,정비구역,재개발,신흥3,경기도 성남시 수정구 신흥동 2890,153218,1980~2000,1398,4625,4625,,,,,3395,2760,,635,2760,,,,,,635,,,,100~200%,265%,1630,,LH,2023,2033,2019-05-27,2022-12-31,2023-02-20,2023-02-20,,,,,,,,,,,,,031-729-4423,
성남시,정비구역,재개발,신흥1,경기도 성남시 수정구 신흥동 4900,196693,1980~2000,1985,5709,5709,,,,,4148,,,710,3438,,,,,,710,,,,100~200%,265%,2220,,LH,2020,2030,2019-05-27,2020-12-31,2020-12-31,2020-12-31,,,,,,,,,,,,,031-729-4424,
성남시,사업시행,재건축,은행주공아파트,경기도 성남시 중원구 은행동 550,151813,1987,74,2111,,2111,,,,3198,2101,1097,,3198,191,895,1986,126,,,,,,114%,250%,2111,2198,조합,2017,,2012-01-30,2015-12-31,2016-02-25,2017-08-11,2021-06-10,2017-11-01,2006-09-04,2016-01-26,2022-07-29,,,,,,,,031-729-4162,
성남시,관리처분,재건축,성지?궁전아파트,경기도 성남시 중원구 상대원동 195-5,26584,1987,15,709,,,709,,,836,711,125,,836,,728,108,,,,,,,131%,275%,699,682,조합,2015,,2012-01-30,2015-12-31,2014-01-28,2015-03-09,2015-03-09,2017-01-26,2006-08-23,2013-07-05,2023-05-15,,2024-12-30,,,,,,031-729-4162,
성남시,조합설립,재개발,도환중2,경기도 성남시 중원구 중앙동 196,39346,1986,268,713,443,164,71,21,14,1123,1123,,,1123,,455,668,,,,,,,100~300%,800%,372,,조합,2006,2030,2006-11-30,2011-12-31,2014-06-19,2015-11-11,,2016-06-29,,,,,,,,,,,031-729-4434,
성남시,착공,재개발,산성,경기도 성남시 수정구 산성동 1336,152821,1986,1516,4499,2789,1035,450,135,90,3487,1842,1224,421,3066,,1727,1200,139,,421,421,,,100~200%,265%,2079,1658,조합,2014,2027,2006-11-30,2011-12-31,2013-12-16,2014-04-11,2024-07-01,2014-11-03,,,2019-04-15,,2020-09-07,2024-04-24,2024-06-21,,,,031-729-4423,
수원시,관리처분,재개발,111-3,경기도 수원시 영통구 원천동 50,28863,1942-2006,108,395,18,107,176,36,18,556,219,275,62,494,,327,167,,,62,62,,,200%,200%,217,185,조합,2006,,2006-09-14,2009-07-03,2009-07-03,2009-07-03,2011-10-05,2006-11-08,,,2021-03-25,,2023-05-09,,,,,,031-5191-3483,
수원시,예정구역,재건축,영통 3구역(원천 주공),경기도 수원시 영통구 원천동 35,48248,1987,8,1320,,810,390,120,,,,,,,,,,,,,,,,172%,250%,1320,,,2023,,2012-09-26,2024-12-31,,,,,,2023-08-02,,,,,,,,,031-5191-3397,
